,cardholder_info,credit_card_details,billing_address,reason_for_the_decline,transaction_info,transaction_references,fees
10,Full Name :Deanna Johnson                                                    Phone:(824)721-6458                                                    Email:gentrytony@mcfarland.com                                                    Personal Number:                              (448)456-5329x9870,Expiritaion date:05/23                                                    Card Type:mastercard*****2645                                                    Bin Country Code:HU,Country:GY                                                    Zip Code:08678                                                    City:Klineburgh                                                    Address:1387 Rich Light,Reply Code: 823                            big,Amount :527.7                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 147.220.140.22                                                    Order no': ea8eefe1-fe5e-4b33-9f62-e7326fa17a7d                                                    Source: ApprovedCharge                                                    Date:2021-10-24 23:13:37                            Approval Number: 0597896879Bank reference number:    ovzQUzfczENKzZoPComment:                    Synergistic needs-based collaborationReference Number 1: 673Card Present: NoReference Number 2: yotAMXLpWQwVeWPC,Original transaction:,Ratio Fee:26.39                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
11,Full Name :Kyle Bird                                                    Phone:001-742-508-9224x9484                                                    Email:ericagreen@ellis.biz                                                    Personal Number:                              517-387-0960x71311,Expiritaion date:08/21                                                    Card Type:visa*****1952                                                    Bin Country Code:JO,Country:BH                                                    Zip Code:56459                                                    City:West Joseph                                                    Address:28288 Schneider Mission Apt. 603,Amount :728.36                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 144.63.218.230                                                    Order no': d047673a-a298-49f3-923f-83db143878b1                                                    Source: ApprovedCharge                                                    Date:2021-11-26 10:16:41                            Approval Number: 0523173954Bank reference number:    zpMseTbyFgFOBXmUComment:                    Persevering object-oriented orchestrationReference Number 1: 1005Card Present: NoReference Number 2: rXVnLYkkLrvlpmOe,Original transaction:69d79abe-723a-43c8-bb4c-53817cb0599a,Ratio Fee:36.42                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
12,Full Name :Kristy Small                                                    Phone:737.893.5253x748                                                    Email:kathymyers@hotmail.com                                                    Personal Number:                              001-310-186-1697x99470,Expiritaion date:10/28                                                    Card Type:visa*****3855                                                    Bin Country Code:MT,Country:LC                                                    Zip Code:78869                                                    City:Lake Andrew                                                    Address:078 Gregory Gardens Apt. 529,Reply Code: 4800,Amount :21.8                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 208.215.203.243                                                    Order no': efb84b4f-6f9d-427d-8fdb-23eb92ef8154                                                    Source: ApprovedCharge                                                    Date:2021-04-26 06:03:00                            Approval Number: 0409388866Bank reference number:    nxpSiSBflwqTsYKbComment:                    User-centric foreground accessReference Number 1: 7423Card Present: NoReference Number 2: fuRpJImCARzKllwM,Original transaction:bf5e679d-7ad1-4c9b-b3fd-b5d3e61ba8de,Ratio Fee:1.09                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
13,Full Name :Mercedes Strickland                                                    Phone:509.395.9635x6276                                                    Email:elizabeth03@hotmail.com                                                    Personal Number:                              (763)610-0094x41908,Expiritaion date:05/30                                                    Card Type:mastercard*****1057                                                    Bin Country Code:UZ,Country:IT                                                    Zip Code:64747                                                    City:North Alexa                                                    Address:605 Nancy Avenue Suite 235,Reply Code: 2930                            quality,Amount :700.72                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 216.166.232.65                                                    Order no': ae8636ad-ab70-4c80-9158-1b32c733f099                                                    Source: ApprovedCharge                                                    Date:2021-01-24 14:18:09                            Approval Number: 180999943XBank reference number:    IvGNSCvBYtxSjwOsComment:                    Customizable background focus groupReference Number 1: 9167Card Present: NoReference Number 2: QmSKQBPjBdpymDCW,Original transaction:,Ratio Fee:35.04                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
14,Full Name :Bianca Anderson                                                    Phone:2816006989                                                    Email:shawn74@reid.com                                                    Personal Number:                              001-153-388-7160,Expiritaion date:04/22                                                    Card Type:mastercard*****8143                                                    Bin Country Code:SV,Country:KG                                                    Zip Code:08523                                                    City:Hendrixside                                                    Address:099 Danielle Square Suite 814,Amount :12.39                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 33.63.165.89                                                    Order no': b916659c-caab-4fb0-accf-e6b630a91186                                                    Source: ApprovedCharge                                                    Date:2021-07-26 14:28:24                            Approval Number: 0268367124Bank reference number:    CSRsYITKklEyWWmeComment:                    Business-focused user-facing analyzerReference Number 1: 1034Card Present: NoReference Number 2: aXeVaxHKkPAPycUg,Original transaction:7dac57e2-466a-4e30-8d6e-713ce8618e2f,Ratio Fee:0.62                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
15,Full Name :Diana Kane                                                    Phone:621.406.2861x1158                                                    Email:steve97@anthony.com                                                    Personal Number:                              010.234.9597x92062,Expiritaion date:01/23                                                    Card Type:visa*****8645                                                    Bin Country Code:FM,Country:ZA                                                    Zip Code:44922                                                    City:Wadeland                                                    Address:01472 Kristen Lake,Reply Code: 4249,Amount :404.35                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 77.239.201.85                                                    Order no': d17be00d-79ce-48e9-ad4a-249aeb72eca1                                                    Source: ApprovedCharge                                                    Date:2021-07-31 07:45:40                            Approval Number: 1603008969Bank reference number:    RVCfGHVMIGtkmIfhComment:                    Face-to-face zero administration secured lineReference Number 1: 9293Card Present: NoReference Number 2: UipSUdcfqtBAnVEo,Original transaction:,Ratio Fee:20.22                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
16,Full Name :Heather Jordan                                                    Phone:6894431748                                                    Email:cjones@newman.com                                                    Personal Number:                              244.829.4498x8460,Expiritaion date:05/26                                                    Card Type:mastercard*****8413                                                    Bin Country Code:MH,Country:UY                                                    Zip Code:85117                                                    City:Chandlerborough                                                    Address:2920 Moody Villages Suite 902,Reply Code: 4178                            show,Amount :459.82                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 166.136.196.221                                                    Order no': 519026a4-224f-4d02-8560-0a536869e6a5                                                    Source: ApprovedCharge                                                    Date:2021-04-29 15:01:15                            Approval Number: 1105919277Bank reference number:    NjvzBBxzaGTBOQQGComment:                    Seamless grid-enabled archiveReference Number 1: 4413Card Present: NoReference Number 2: BvqarZdFewuOnrYy,Original transaction:,Ratio Fee:22.99                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
17,Full Name :Jodi Smith                                                    Phone:+1-827-726-8741x4442                                                    Email:ufowler@yahoo.com                                                    Personal Number:                              6924359635,Expiritaion date:10/27                                                    Card Type:mastercard*****3277                                                    Bin Country Code:EE,Country:AE                                                    Zip Code:04552                                                    City:Garciamouth                                                    Address:321 Esparza Grove Suite 219,Reply Code: 5937,Amount :454.63                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 17.86.146.40                                                    Order no': 1a8865f3-2ef4-41aa-b484-3ffb693d9fd6                                                    Source: ApprovedCharge                                                    Date:2021-06-29 16:28:26                            Approval Number: 1269392581Bank reference number:    gmVGINLUkoeyJhFEComment:                    Horizontal content-based portalReference Number 1: 8424Card Present: NoReference Number 2: SSSLGIBhOXmzxEMx,Original transaction:,Ratio Fee:22.73                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
18,Full Name :Michele Gregory                                                    Phone:001-100-945-6841x4255                                                    Email:travis52@yahoo.com                                                    Personal Number:                              487.862.4220x671,Expiritaion date:04/28                                                    Card Type:mastercard*****5474                                                    Bin Country Code:SO,Country:GR                                                    Zip Code:48818                                                    City:South Thomas                                                    Address:984 Lisa Light Apt. 107,Reply Code: 106                            matter,Amount :798.89                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 212.154.219.229                                                    Order no': 58cf0381-4734-42ba-805f-ed9d0d69d639                                                    Source: ApprovedCharge                                                    Date:2021-01-16 18:16:21                            Approval Number: 0746227388Bank reference number:    hzSIqGjtvuovpOyvComment:                    Optional next generation coreReference Number 1: 9163Card Present: NoReference Number 2: lLDGxOajGXahyaGA,Original transaction:,Ratio Fee:39.94                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
19,Full Name :Michelle Lowe                                                    Phone:689.667.3557                                                    Email:david31@hotmail.com                                                    Personal Number:                              +1-830-328-0795x349,Expiritaion date:06/22                                                    Card Type:visa*****4455                                                    Bin Country Code:OM,Country:ET                                                    Zip Code:49886                                                    City:Williamstad                                                    Address:13423 Sheila Drive,Reply Code: 6380,Amount :955.26                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 178.114.203.157                                                    Order no': 0b4cc19b-083a-4cf6-94a7-891ad4449def                                                    Source: ApprovedCharge                                                    Date:2021-11-03 18:15:28                            Approval Number: 1755953755Bank reference number:    zdeHIwzXoGSBISAEComment:                    Fully-configurable needs-based intranetReference Number 1: 3023Card Present: NoReference Number 2: TysfjGWAmgcmoXuL,Original transaction:bdd8a2a6-2369-4dee-a1c2-885ddb919769,Ratio Fee:47.76                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
20,Full Name :Chris Lynn                                                    Phone:851-904-5737x78378                                                    Email:nelsoncharles@yahoo.com                                                    Personal Number:                              (974)269-0266x923,Expiritaion date:01/22                                                    Card Type:visa*****6631                                                    Bin Country Code:HR,Country:VC                                                    Zip Code:85957                                                    City:Lynnfort                                                    Address:15074 Stephen Shore,Reply Code: 8640,Amount :422.02                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 141.178.21.228                                                    Order no': 4cd4f1b7-7c44-4a37-b1fd-34399c2c6567                                                    Source: ApprovedCharge                                                    Date:2021-06-11 10:34:45                            Approval Number: 1943883904Bank reference number:    ksaQnFuzRwcmBCmcComment:                    Inverse modular budgetary managementReference Number 1: 2560Card Present: NoReference Number 2: edFsCmrRnCPVVger,Original transaction:,Ratio Fee:21.1                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
21,Full Name :Norma Howell                                                    Phone:+1-642-311-1662x5388                                                    Email:ashleymaldonado@tucker.com                                                    Personal Number:                              001-519-120-6338x6905,Expiritaion date:04/25                                                    Card Type:visa*****6609                                                    Bin Country Code:CZ,Country:CD                                                    Zip Code:98602                                                    City:Davisland                                                    Address:71073 Mario Fort,Amount :230.84                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 39.30.207.118                                                    Order no': fd4a9759-6555-4aef-b902-fc2f73b9beaf                                                    Source: ApprovedCharge                                                    Date:2021-01-27 00:44:42                            Approval Number: 1280659831Bank reference number:    pnLpkJdhOalykyuWComment:                    Streamlined leadingedge functionReference Number 1: 7481Card Present: NoReference Number 2: KexGociIoizemesL,Original transaction:,Ratio Fee:11.54                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
22,Full Name :Suzanne Mills MD                                                    Phone:+1-254-252-7534x67233                                                    Email:kristinafloyd@gmail.com                                                    Personal Number:                              (461)954-1497x4568,Expiritaion date:11/29                                                    Card Type:visa*****2378                                                    Bin Country Code:SA,Country:NL                                                    Zip Code:02890                                                    City:New Crystal                                                    Address:0920 Stefanie Forges Apt. 851,Amount :6.45                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 21.107.66.5                                                    Order no': 5864b56c-ed84-4821-8dbe-a7e07b44ef7c                                                    Source: ApprovedCharge                                                    Date:2021-09-24 22:09:06                            Approval Number: 0270032029Bank reference number:    uQdiCctyuGwrvpoqComment:                    Up-sized eco-centric superstructureReference Number 1: 3241Card Present: NoReference Number 2: byqnaUyAYopNxwqV,Original transaction:,Ratio Fee:0.32                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
23,Full Name :Vicki Hull                                                    Phone:(000)577-7380                                                    Email:ryan98@bryan.info                                                    Personal Number:                              003-127-5071,Expiritaion date:07/28                                                    Card Type:mastercard*****8904                                                    Bin Country Code:TL,Country:MR                                                    Zip Code:37786                                                    City:Billyshire                                                    Address:97004 Gregory Roads,Amount :992.35                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 139.138.59.236                                                    Order no': 17507206-88b9-4fa4-a599-0b3b2bf2952e                                                    Source: ApprovedCharge                                                    Date:2021-03-27 23:00:37                            Approval Number: 1570800073Bank reference number:    yAQvNgqMPrxiUYUGComment:                    Upgradable stable monitoringReference Number 1: 1113Card Present: NoReference Number 2: dVTyvNkUVeKMHvrz,Original transaction:9e5d17d2-26d7-497c-ab06-cab0fb54cc09,Ratio Fee:49.62                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
24,Full Name :Thomas Parker                                                    Phone:803.115.8965x66611                                                    Email:ssaunders@stevens-martinez.biz                                                    Personal Number:                              (498)151-0668x35097,Expiritaion date:05/27                                                    Card Type:visa*****8728                                                    Bin Country Code:PA,Country:LY                                                    Zip Code:39033                                                    City:Lake Rebekahborough                                                    Address:515 Vega Locks,Amount :193.3                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 45.112.243.191                                                    Order no': eb39b98c-7b34-4a1b-bcd9-965facc754f1                                                    Source: ApprovedCharge                                                    Date:2021-01-01 01:01:13                            Approval Number: 0091458609Bank reference number:    APzkaUNOCyhOsvYOComment:                    Optional modular system engineReference Number 1: 3053Card Present: NoReference Number 2: pjCPIgibsLnDWnzi,Original transaction:,Ratio Fee:9.67                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
